text,id,annotation
Ahlam Saida  من حقك  لا تستطعين.  الحضور إلى المهرجان  ، شوفي اختى من فتحنا أعيننا ونحن نرى الأطفال القصف والجوع. لهم الله عز وجل  يحميهم. اما بني البشر لم  يستطعون اي يفعلوا اي شيء واتكلم  المسلمين ليس العرب فقط  .   المساعدة ليس بي الكلام وخروج المطهرات  ماذا فعلت لا شيء 👎 كلام في الهوى فقط,R_1001423284955730,['Criticism of Festival - Palestine']
Ismail El Mourabit لا كين غير ايتيز بوحدها,R_1001458944677578,['Autre']
وزير في عمره 40 عاما اقل ما يقال عنه انه برهوش في مخه و لا علاقه له بالثقافة لا من بعيد و لا قريب، كنعيشو مخلفات توزيع الحقائب الوزارية عن طريق المحاباة الحزبية و التبزنيس التصويتي,R_1001499021396486,['Salon du Livre - Ministre de la Culture']
Cant wait 🔥,R_1001512911589152,['Excited for Mawazine']
3alah yadarab chi zalazal bche bandam yfi9. 3watani,R_1001520218201767,['Criticism of Festival - Zelzal']
Wld lhawat for sure(شكون هاد الملاوي؟),R_1001585658056520,['Autre']
"#مقاطعة_مهرجان_موازين
#لا_للتفاهة_وغزة_في_إبادة
#لاترقص_على_جراح_إخوانك",R_1001743647999896,['hashtags boycott']
Dkhlouha ljam3 hsan likome,R_1001784878263798,['Autre']
Hhhhhhhhh waaa l3foooooo,R_1001843701371066,['Autre']
Overrated af,R_1001919634989538,['Extravagant Spending']
@hafsa.kariim والله عيب علينا,R_1001970591538479,['Criticism of Festival - Palestine']
Otmane Tahiri الله يا ودي فينهو الابداع 🥴🥴🥴 اذا اصلا في بلاده كيتهموه بتضييع اجيال بسبب افلامه ديال البلطجة و التشمكير عاد زيد عليها اغانيه المايعة، فا نوضو حنا نديرو ليه استقبال ديال الرؤساء و الملوك في حدث لا علاقة له بيه لا من بعيد و لا قريب فقط لانه سيهم لوزير باغي يتصدر الصفحات في السوشيل ميديا و مكيهموش الطريقة واش غادا تكون ايجابية و لا سلبية,R_1002088127925389,['Criticism of Festival - Social Values']
Lina Abid wawaw 😂,R_1002581937968917,['Outliers']
Ayoub Manoual l3aidat mkystafdch mnhom lmowatin akhoya lhbib. Zadolk f salaire ? La sir chof nas kynadlo l3am kaml  ela wdit lma3icha wl7o9o9 w lyoma mawazin nachtin ...,R_1002618304617982,['Citizens Priorities First']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين",R_1002710104751459,['hashtags boycott']
@itsnouhaaa_21 و نتي تصويرة لي دايرة فالبروفيل ماشي خاسك تاكلي سلخة بنهار و بليل و تعلقي من الفوق ياك مسلمة ايوا ديري شي طوف محترمة ماشي متبرجة,R_1002802744508726,['Outliers']
"⛔📢 لا يحضر مهرجان الخزي #موازين من له وعي راسخ وإيمان ثابت وعقيدة مستقيمة وضمير حي
#فق من غفلتك 

#قاطعوا
#الأسرة
#معركة_الوعي
#ماتقيسش_عائلتي
#برتاجي",R_1002860634699466,['hashtags boycott']
Cho comments w mli dwi m3ahom ygolo lik mrid kayano b7al l9ti3,R_1003011684495504,['Autre']
@leo_8.01_ فكازا اخويا فكازا😂😂,R_1003083734676093,['Outliers']
200 مليار مشات,R_1003198584664815,['Autre']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين",R_1003215791219228,['hashtags boycott']
Alo Lhonda,R_1003297711228203,['Outliers']
لا ترقص 🇲🇦 على جُرْحِ إخوانك 🇵🇸 ... ! حملة مقاطعة مهرجان موازين ... #مقاطعة_مهرجان_موازين,R_1003369741156997,['hashtags boycott']
7yed gha cee,R_1003413971368125,['Outliers']
WHAT A MOMENT OF PRIDE 🇲🇦❤️,R_1003420851212849,['Excited for Mawazine']
👏👏👏👏 merci enfin,R_1003433564685896,['Excited for Mawazine']
#مقاطعة_مهرجان_موازين,R_1003543531109731,['hashtags boycott']
Les Marocains vous allez avoir chaud la reine débarque même si vous parler ont la déjà choisi pleurer alors 😂😂,R_1003584914439734,['Outliers']
Avicii - 2pac 😞,R_1003649057855171,['Outliers']
#مقاطعة_مهرجان_موازين,R_1003666694455114,['hashtags boycott']
nigga pam pam,R_1003760671277899,['Outliers']
N'importe quoi!,R_1003817531163375,['Outliers']
Amabghinach flos mawazin siftoha l Gaza,R_1003927821354095,['Criticism of Festival - Palestine']
A77777 I'm so excited,R_1003961207269040,['Excited for Mawazine']
GOKIL,R_1004122471049620,['Outliers']
Par respect à nos frères palestiniens il faudra annuler le festival de Mawazine. C est inconcevable de continuer à organiser des festivités alors qu'un génocide est perpétré par les voyous israéliens sur le territoire de Ghaza,R_1004239911092144,['Criticism of Festival - Palestine']
Yeeeeee🙌,R_1004258414403151,['Excited for Mawazine']
Aucune star,R_1004269241069656,"['discussing choices singers', 'discussing choices singers']"
Visit our website jw.org,R_1004430521324347,['Autre']
@_just___________mee_ واش فراسك راه غزة احتافلو البارح بقرار وقف اطلاق النار !!؟؟,R_1004448527769287,['Criticism of Festival - Palestine']
Fen ghadi tkun 3afakum🙏🏻🙏🏻🙏🏻,R_1004466031204497,['Festival Location']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين
لاخير فينا ان مشينا؟!؟",R_1004478704428135,['hashtags boycott']
@travelexperiences12 distinct,R_1004544781240252,['Outliers']
#مقاطعة_مهرجان_موازين,R_1004583578050399,['hashtags boycott']
Awili 😂😂😂😂,R_1004607144379977,['Outliers']
"🇵🇸
#مقاطعة_مهرجان_موازين",R_1004625861239504,['hashtags boycott']
So embarrassing.🍉,R_1004642213826109,['Outliers']
Calvin Harris nadi 🔥🔥🔥,R_1004789031063745,['Excited for Mawazine']
#مقاطعة_مهرجان_موازين,R_1004815791154180,['hashtags boycott']
@zaira_mlk  كاينه,R_1004825427797267,['Outliers']
"Olm international , ntoma machi international , ur for locals",R_1004903514401564,['Autre']
Calvin harris tambqa y3rfu 7d heli jaybinu,R_1005115104465644,"['discussing choices singers', 'discussing choices singers']"
Lferda»»»,R_1005399504532814,['Autre']
Tfooo tfooo tfooo,R_1005463244434973,['Criticism of Festival - Social Values']
@zayn._.artt راه العرب كاين لي كيعرف سميرة انغام و مكيعرفش تايلور و بيونسي كاين لي مكيعرف حتى فنان اجنبي و كيسمع غير للعربي كل ذوق دايرين. ليه منصة غايجيبو بيونسي تغني ليهم الاطلال مثلا,R_1005513754337901,"['discussing choices singers', 'discussing choices singers']"
"Please bring us ed sheeran,maroon5, tini",R_1005656690924454,['Demande_Singers']
Excited 😩,R_1005732084312133,['Excited for Mawazine']
#مقاطعة_مهرجان_موازين,R_1005759844254806,['hashtags boycott']
"Hassan Fillah 
ملي كتشبع الكرش كتقول للراس غني
يشبعو الشعب بعدا ويضمنو ليه حقوقو وذيك الساعة يديرو ماشي غي مهرجان",R_1005874610964304,['Citizens Priorities First']
@thisizbalti الخوت هاوا حسابه داك التونسي اللي سميرة سعيد هو من داعمين البوليساريو غادي تلقاو المغاربة هاجمين عليه في الصفحة دياله سيرو ديرو معاه الواجب انا عاد.جيت من الصفحة دياله😒,R_1005894177544674,['Balti - Polisario']
@redwan_zalagh هدي كتر من 4 سنين و هوا موقف شفتي شي مشاريع و لا شي استثمارات لا إذا باركو من هاد لاسطوانة,R_1006040714289806,['Citizens Priorities First']
#مقاطعون_موازين -من -أجلك-يا-فلسطين,R_1006190364198798,['Criticism of Festival - Palestine']
Proud to be an ATINY 🔥,R_1006323184346847,['Excited for Mawazine']
Sma7 lia walakin metro m9awwed lkhaikh dial l’instriat fl pop rnb rap trap… o had comparaison lia darti kon darti radi ymchi la scène dial slla yasme3 stati wybda ydir dak chti7 dial hargawa,R_1006420747851234,['Autre']
Really!? Nicky Minaj??,R_1006522900875243,['Excited for Mawazine']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازينلا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين",R_1006655210888504,['hashtags boycott']
Otmane Gtm,R_1006741454389195,['Outliers']
#مقاطعة_مهرجان_موازين,R_1006749260798732,['hashtags boycott']
SF9,R_1006958151044631,['Autre']
"Chkon likytfrj fhad zbl
B9a lina ghir mawazine",R_1007145600835815,['Criticism of Festival - Social Values']
jat tadi wahd  2 d lmalyar  o lmaskin ykamam f l3id,R_1007312287482413,['Citizens Priorities First']
Bande de crapules,R_1007394280722427,['Autre']
Nichaan,R_1007527394211351,['Autre']
الاستعدادات لموازين قرب المسجد تخيل المسلمين ايكونو كيصليو صلاة العشاء فالمسجد وحداهم وحدين كيشطحو والصوت طبعا ايكون عالي. إنها علامات الساعة بإمتياز واضحة غير لي بغا يكدب على راسو اللهم إن هذا منكر حسبنا الله ونعم الوكيل ☝️ #قاطعوا_موازين,R_1007538513678460,['hashtags boycott']
"#مقاطعة_مهرجان_موازين
#أنقذوا_فلسطين_إنها_تُباد⁦🇵🇸⁩
#فلسطين_حرة_وستبقى_حرة⁦🇵🇸⁩
#قاطع_انت_من_تدفع_ثمن_رصاصهم💔",R_1007663257444081,['hashtags boycott']
خصنا غير موازين لاحول ولا قوة الا بالله العلي العظيم  الاضطرابات في البلاد في جميع الميادين .الطب.البلديات.الاساتذة.المحكمة....حسبنا الله ونعم الوكيل,R_1007737884556056,['Criticism of Festival - Social Values']
#مقاطعة_مهرجان_موازين,R_1008215327323545,['hashtags boycott']
na9so flmzot rah 9harto drawech rah katediwe t9lid,R_1008253267576956,['Citizens Priorities First']
لا ترقص على جرح إخوانك 🇵🇸 #مقاطعة_مهرجان_موازين ❌ #مقاطعون_موازين ❌ #خليه_يصفر 🚷,R_1008385840260394,['hashtags boycott']
﴿كُلُّ نَفسٍ ذائِقَةُ المَوتِ وَإِنَّما تُوَفَّونَ أُجورَكُم يَومَ القِيامَةِ فَمَن زُحزِحَ عَنِ النّارِ وَأُدخِلَ الجَنَّةَ فَقَد فازَ وَمَا الحَياةُ الدُّنيا إِلّا مَتاعُ الغُرورِ﴾ [آل عمران: ١٨٥],R_1008392607372772,['Criticism of Festival - Palestine']
"حملة مقاطعة تهـ*ـدد مهرجان موازين يواجه مهرجان موازين إيقاعات العالم ،حملة مقاطعة واسعة على مواقع التواصل الاجتماعي قبل أسابيع قليلة من انطلاقه، حيث دعا عشرات المغاربة إلى مقاطعته تضامنًا مع غـ*ـزة. حيث اجتاح هاشتاغ ""قاطعوا موازين"" العديد من الصفحات، داعيًا إلى عدم حضور سهرات المهرجان، معتبرين أن الميزانية الضخمة التي تُنفق على ضيوفه ينبغي أن تُصرف على الفلـ*ـسطيـ*ـنيين، من خلال تقديم المساعدات الإنسانية وتوفير المواد الغذائية. كما وجهوا نشطاء مواقع التواصل الاجتماعي نداءً لسكان الرباط وسلا للانضمام إلى حملة المقاطعة وعدم حضور سهرات المهرجان. الجدير بالذكر ان منظمو مهرجان موازين اعلنوا عن قائمة المشاركين في نسخته التاسعة عشرة، المقرر تنظيمها خلال الفترة من 21 إلى 29 يونيو المقبل، حيث تشمل القائمة المغنية الأمريكية نيكي ميناج، والفنانين نجوى كرم، هيفاء وهبي، كارول سماحة، رامي عياش، سميرة سعيد، وغيرهم من الأسماء التي سيُعلن عنها لاحقًا. تحرير: تسنيم تيزي صحافية متدربة #dimatv_net #ديما_تيفي #dimatv #حملة #مقاطعة #موازين #غضب",R_1008393890259589,['hashtags boycott']
عار علينا في المغرب أن نحيي مهرجان موازين الفاجر... وعار علينا ان نحييح في في زمن يحارب إخواننا في غزة حربا شعواء وتهدد المسجد الاقصى بالدمار.. وعار علينا ان نستدعي مغنيات إباحيات فاجرات.. #قاطعوا_موازين,R_1008577784171568,['hashtags boycott']
Jiboha l agadir,R_1008606680688467,['Demande_Singers']
ماشي أول فرقة تحيي حفل فالمغرب كان قبل منهم حفل ديال 7oclock و حفل ديال trendz هاد ولاو أول فرق تحيي مهرجان في المغرب,R_1008674340588311,['Autre']
#مقاطعة_مهرجان_موازين,R_1008920290359112,['hashtags boycott']
😂😂😂 mn niyto,R_1008948390899021,['Outliers']
#قاطعوا_موازين إنه من العار أن يكون فتية وفتيات امريكا وأوروبا وأستراليا أكثر شهامة منا، فيضحوا بالنفس والنفيس في سبيل تحرير فلسطين ونحن لا نستطيع مقاطعة معرجان داعر فاجر يغطي على أخبار إخواننا في فلسطين. لا خير فينا إن قبلنا بمهرجان موازين.,R_1008948584134488,['hashtags boycott']
#قاطعوا_موازين منذ سنوات والمغاربة يطالبون بمقاطعة موازين لأسباب كثيرة، ولكن هذه السنة أصبحت مقاطعة هذا المهرجان أكثر اهمية، واصبح من العار الاحتفال به في وقت تعمل آلة القتل والتجويع عملها في إخواننا، مع تقصيرنا الشديد في نصرتهم، فلا أقل من هجران وإيقاف مثل هذا المهرجان الفاجر,R_1008950007467679,['hashtags boycott']
❤️👉@islamsobh.i,R_1009038997243632,['Outliers']
If only it was skz 😢,R_1009117223969183,['Demande_Singers']
غنديرو هاشتاغ مقاطعة محمد رمضان و نانسي عجرم يالاه  #محمد_رمضان_ونانسي_عجرم_غيرمرحب_بهم_فالمغرب_مهرجان_موازين,R_1009117817247804,"['discussing choices singers', 'discussing choices singers']"
لا ترقص على أنغـــام قصـــ.صف اخوانك في غــ.زة 💔 مقاطعون مهرجان موازين 🚫 لا ترقص على جرح إخوانك 🇵🇸 #مقاطعة_مهرجان_موازين,R_1009124057447037,['hashtags boycott']
المظاهرات في الجامعات الأمريكية تتميز بما يلي: 1. أنها تتضمن جميع شرائح الشعب الأمريكي. 2. أنها قوية وشعاراتها ومطالبها عالية ضد ظلم الكيان الغاصب ومطالبة دولتهم بمقاطعة الظالمين ووقف جميع أشكال التعاون الجامعي معه. 3. أنها لأول مرة تطالب بتحرير فلسطين من النهر للبحر، وهذا لم نسمع به من قبل. 4. أنها تتهم المسؤولين من الرئيس فمن دونه بالمشاركة في الإبادة الجماعية والتطهير العرقي. 5. إن أصحابها مقتنعون تمام الاقتناع بأحقية ما هم عليه ولم يثنهم طرد من الجامعة ولا توقيف ولا سجن. يا بني قومي نحن اولى بالانتصار لقضيتنا الأولى منهم. واقل ذلك ان نقاطع معرجان العار موازين. #قاطعوا_موازين #طوفان_الأقصى #طوفان_الجامعات,R_1009615187401161,['hashtags boycott']
#boycott_balti_mawazine,R_1009686984052038,['hashtags boycott']
لا. ترقص على جرح إخوانك 🇵🇸🇵🇸#مقاطعة_مهرجان_موازيين#,R_1009910323984955,['hashtags boycott']
They’re in Africa???😍,R_1010174847408962,['Excited for Mawazine']
OMG sooooo excited 🔥🔥🔥,R_1010340313781061,['Excited for Mawazine']
@meryam_khammou 😢😢😢 وااناري شدي ليا يلاصة,R_1010442133753456,['Excited for Mawazine']
@192.168.0.0.8 لا هذاك ترافيس 🙂,R_1010449180689226,['Outliers']
#مقاطعة_مهرجان_موازين,R_1010610470422565,['hashtags boycott']
I love it i love it i love it i loooooooooooove it 😹😹😹,R_1010650927077256,['Excited for Mawazine']
@_.majdouline._ Calvin Harris,R_1010801947054402,['Demande_Singers']
Wa hhhhhhhhhhhh,R_1011041377117159,['Outliers']
@___lallalkessala ديك العافية دابا تشعل فيك انت وياها 😂,R_1011310703704899,['Outliers']
@hey_ikram_01,R_1011316430623590,['Outliers']
HUAAAAAAAAAAAAAA MY FIRSTTTT,R_1011328513798143,['Excited for Mawazine']
كاينا فرقة كورية سميتها ateez وخا ماواصلينش للشهرة ديال بي تي اس حتى هما واعرين,R_1011538163876536,['Demande_Singers']
"Ranim Zidan 
جاهزة",R_1011564067192654,['Excited for Mawazine']
"Cupidovirtual Douae 
على كتسحابليك اتيشدو وتيعزلو 
كيكونو معايير بزاف باش يجييو ولا الفنان يقبل",R_1011635003905669,['Demande_Singers']
"الهولوگرام
Hologram",R_1011900213888651,['Oum Kaltoum - Hologram']
I’m cannot wait 🔥Still can’t believe they are coming here,R_1011952503832594,['Excited for Mawazine']
@vvooaini,R_1012011470553630,['Outliers']
اللي مشا راه مدلول...اويلي نانسي علاش جايبينها ايوة قمة الدل ...الدل برو ماكل هاد المسؤول بغيت ليه .....,R_1012025860281938,"['discussing choices singers', 'discussing choices singers']"
No Mawazine . Palestinians dying. Show at least some respect for them.,R_1012173397008538,['Criticism of Festival - Palestine']
Fin mgharba,R_1012309840257173,"['discussing choices singers', 'discussing choices singers']"
@callmebouti67 غنغ فواحد الحفلة وبين الخريطة دالمغرب مقسومة,R_1012341470458519,['Balti - Polisario']
We need Travis Scott,R_1012501750399765,['Demande_Singers']
jabouha hda lmasjid,R_1012568160286543,[]
"الاستعدادات لموازين قرب المسجد
#قاطعوا_موازين",R_1012725760423437,['hashtags boycott']
#مقاطعة_مهرجان_موازين,R_1012760343611494,['hashtags boycott']
Brahch d 2005 fr7anin db hhhhhh,R_1012819076888432,['Excited for Mawazine']
Naaaaari wtf,R_1012837996925831,['Autre']
"إخواننا في غزة يموتون قصفا .. جوعا .. ينكل بهم … يعذبون حتى الموت ….
و نحن سنحتفل بهذه المناسبة كما فعل تركي آل الشيخة
اللهم إنا نبرأ إليك من هذا التخاذل و التآمر من طرف حكومات العرب الصهيوماسونيين",R_1013130563578956,['Criticism of Festival - Palestine']
@salima_mehdiya طلعوا الهاشتاق #مقاطعون_موازين,R_1013246450317182,['hashtags boycott']
Majiddd almuhandiss 😍❤,R_1013521566798285,['discussing choices singers']
Tomorrowland 😂,R_1013574843706925,['Outliers']
Il a raison toto .. les deux sont parmi les meilleurs rappeurs dans le monde entier,R_1013714853675088,['discussing choices singers']
لاحول ولاقوة الا بالله العلي العظيم. رحمة الله تعالى عليها ...السيئات الجارية .مادا لو رجعت ام كلتوم لندمت على هدا العمل ..,R_1013719696985434,['Autre']
messi,R_1013730706849183,['Outliers']
Kendrick lamar ??,R_1013759920083839,['Demande_Singers']
El morad خرج من السيدة 😒😂😂,R_1013802400280318,['Outliers']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين",R_1013805576966028,['hashtags boycott']
@widad._.photographe 😂😂 نتيىمالكي معى ليسرافيم,R_1013993273488590,['Outliers']
ام كلثوم في القبر ..كطلب الشرع..الناس ميتة باغا الرحمة ماشي تزيدوها ذنوب عباد الله...هزلت,R_1014026290067398,['Oum Kaltoum - Hologram']
baraka elikoum central cee hhh,R_1014335560112715,['discussing choices singers']
"Keren banget sayang""ku🥰",R_1014452230252771,['discussing choices singers']
Hussem Eddin 😂😂😂,R_1014688933627457,['Outliers']
#أنقذوا_فلسطين_إنها_تُباد #أنقذوا_فلسطين_إنها_تُباد #أنقذوا_فلسطين_إنها_تُباد#أنقذوا_فلسطين_إنها_تُباد#أنقذوا_فلسطين_إنها_تُباد,R_1014863590058334,['Criticism of Festival - Palestine']
Mohamed Esafi نتا وكان لي ضعتي انا بحال والو غادي 😂,R_1014865193328253,['Excited for Mawazine']
Kat chemkar lina la génération li tal3a rak gha petit bka meaa les petites minassate,R_1014902716672853,['Criticism of Festival - Social Values']
Who are these people?,R_1014947363359677,['discussing choices singers']
#مقاطعة_مهرجان_موازين,R_1014986933529378,['hashtags boycott']
جااات معاكم وااا بااز باااز فلسطين تباد السودان شعبها مشرد و ينكل به ..... اما اخواننا لي بلادنا الحبيب اصحاب الزلزال لي عايشين ف الخيم و الرد ....عقلي ما كيستوعبش هاد شي شي واحد يفهمني,R_1015025563315798,['Criticism of Festival - Palestine']
@belvamiir 😌اه عقلية رجال ماشي لبرا/هش بحالك,R_1015172343529895,['Outliers']
#قاطعو _موازين حشوما وعيب وعار خوتنا كيموتو وكيجوعوهم في غزة وحنا غادين يجيبو لينا هادو يطبلو ويغنيو فحال ماخصنا خير، راه عيب والله لا حول ولا قوة إلا بالله العلي العظيم #اللهم_نستودعك_اخوتنا_في_غزة # اللهم_نستودعك_اخوتنا_في_غزة 😢,R_1015234013359267,['Criticism of Festival - Palestine']
@m5332rym 😂 مرضوني أنا بالأغلاط تقول معاهم شي واحد قاري حتى للثالث ابتدائي,R_1015485283249345,['Autre']
بنادم كلشي كيسب را مايمكنش نرضيوكم نتوما بوحدكم حيت كين لي مهتمين بموازين و باغينو + لي كيغولك بغينا فلوس موازين يطورو بيهم الصحة سير غولها لوزارة الصحة و الشفارة اللي فيها اما موازين را كاتكلف بيه شركة و مكياخدوش من مال العموم و النتيجة موازين را كيعطي صورة زوينة لمغرب و استتمار اللي كيربح منو المغرب بزاف دالحوايج على المدى البعيد….,R_1016027783526075,['Financement']
لاترقص علا جرح إخوان🇸🇩 #مقاطعون-مهرجان-موازين,R_1016076820132567,['hashtags boycott']
Toto ♾️♾️,R_1016220729924874,['discussing choices singers']
#مقاطعة_مهرجان_موازين,R_1016298209854017,['hashtags boycott']
bach kamlin ntchdo,R_1016319630065757,['Autre']
قلبي ضرني والله حشومه وعار موازين فيه فساد خمر خسارات الأموال ما الفائدة منه باش نجيبزا مغني ولا مغنيه ب نصف مليار شكون هيا ولا هو داك نصف مليار ختارو شي 100 شاب وشابه باغيين بعضياتهم وعاونوهم مساكن والله التقليد عليكم اغلب الشباب والشابات ضايعين مساكن كلشي علته عليهم 💎 ربي يرى كل شيء,R_1016518583156232,[]
#boycottmawazine,R_1016715753345262,['hashtags boycott']
@sihaam1ach اتفق👏,R_1016970866747398,['Autre']
HAAAAAAAAAAAAA,R_1017205953155464,['Outliers']
على الأقل تاخد واحد 300 مليون فلوس الشعب 🙂,R_1017215656439785,['Extravagant Spending']
مقاطعون🇵🇸 الطلبة الأمريكيين لا علاقة ليهم بالعروبة والاسلام وكلهم نوابغ وقفو قرايتهم تعتاقلو على قبل فلسطين كلاو العصى وباقين واقفين وهاد العريبان ديالنا تقولهم قاطع يقوليك بغيت نزها سير نتا حررهم...وبلا فلسطين راه الشتا غير نساوها بسبب هاد المنكرات وهاك بالاك للزلازل والمصائب...اللهم لا تؤاخذنا بما فعله السفهاء منا,R_1017473019870889,['Criticism of Festival - Palestine']
@_20.8.01_ متافقة معاك من ناحية الصوت غير منفوخة على والو أما أغانيها زوينين كون بقات غير كاتبة أش داها تغني المصيبة الدعم الي ماجيها من الصناعة غريب و فشكل,R_1017647873121864,['discussing choices singers']
@fatima_ezzahraa87 🤦🏻‍♀️😂,R_1017830829765631,['Outliers']
Men 7e9ou,R_1018508139867314,['Autre']
تايلور سويفت انجح فنانة عالميا فهاد الجيل ومافكروش يجيبوها fuck mawazine,R_1018519493215373,['Demande_Singers']
@faouzia 😍😍😍😍,R_1019182023105345,['Outliers']
Tmchi t7wa,R_1019287546220784,['Autre']
#مقاطعون_موازين,R_1019291102874596,['hashtags boycott']
We live in a parallel world,R_1019644266434933,['Autre']
موازين (Netflix),R_1019707926387545,['Autre']
Spacatak,R_1019765446161410,['Outliers']
Fedwa Bouzoubaa,R_1019829143046199,['Outliers']
Ismail Boussadine ههههه شكون مسوق ليك تقاطع ولا لا؟ راه تذكرة تاع لمهرجان غاليا عليك اصلا الى عندك ثمنها غير قاطع 😂 لحزقة ولفهامة,R_1019865216417785,['Tickets']
انا ضد هاد مهرجان ولكن مراد فاش مقصر معهم @el_moraddd,R_1020266226361796,"['Boycott without reason', 'Boycott without reason']"
Hshamt lihum khasna ghi Mawazine لا حول ولا قوه الا بالله,R_1020521243124020,['Autre']
@houdasaadofficiel @asmalmnawar @assala @najwakaram @saadlamjarred1 @hatimammor @kadimalsahirofficial @7sainaljassmi 😍🫶🏻,R_1020554342970109,['Outliers']
@zakaria.amzil2,R_1021159462941994,['Outliers']
Ongggg yessss 😍,R_1021302146263223,['Autre']
@sou675657 دول شمال افريقيا اختي هد مغاربية غير حيدوها,R_1021345589580337,['Outliers']
la,R_1021517079442231,['Outliers']
#مقاطعة_مهرجان_موازين,R_1021612476193254,['hashtags boycott']
Bghina chep l3arbi 😍🔥,R_1021946972622941,['Demande_Singers']
واحد  حيدو ليه الدعم بدعوى انه كيشد المعاش لي مبلغ ديالو 164 درهم هههههه مسكين بقا فيا خاصو يسمح فهذاك المعاش الغليض ههههه التقاعد ديال اخر زمان,R_1022259059330959,['Citizens Priorities First']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين",R_1022314306120457,['hashtags boycott']
ana khwroni nmchy mais bdit kantraj3 GHa toto o t9bhom traviss atwli tma saht intidar dyal ff,R_1022433039552403,['discussing choices singers']
Tez khyemathkom kniwd mawazin nkom,R_1022489735876614,['Autre']
@jalila23 لا باقين مجموعين ما مرة ماجوج دارو لعودة نيت بيغ بانغ لي تفرقات دعوة,R_1022978949386444,['discussing choices singers']
Achraf HM wlahila nta breb,R_1023385469307586,['Outliers']
Lahw mowatin;;ghala as3ar,R_1023542619377076,['Citizens Priorities First']
#مقاطعة_مهرجان_موازين,R_1023597672814664,['hashtags boycott']
Zaineb Taghbalout,R_1023955592628184,['Outliers']
"تمازيغت أسماء اسمح لي نقول ليك انت يا اما ماشي مسلمة واما جاهلة بعقيدة دينك.
اذا كنت ماشي مسلمة فعادي ...ولكن الاكنتي مسلمة ومعارفاش القضية الفلسطينية بلي قضية عقيدة فوالله لاسف الشديد",R_1024226092752698,['Criticism of Festival - Palestine']
Valchiu Valchiu Thanks for the sweet likes and comments greetings from me to you I will love if you can send me a message now,R_1024765665934505,['Autre']
"ᏦᎻᎯᏞᎥᎠ ᎻᎯᎿᏰᎥ 
راه المغرب فيه تلاتين مليون ، ماشي نتا باغي الجوامع و قناة السادسة ، صافي كلشي خاصو يدير بحالك!

فاش غادي تبدا موازين، غادي تشوف شحال ديال الناس غادي تحضر و كلها باغة تزها و تنشط.",R_1025215709033541,['Excited for Mawazine']
"و بما ان ماجابوش معاها اللي يدير دويتو 
غالبا hassan gonzalez غادي يكون الاختيار 
بنادم عاد بان كان ع Fan",R_1025531865973131,['discussing choices singers']
